id,issuedDate,distributorid,status,validFrom,validThrough,type,planesValue,horizontalSize,verticalSize,area,CATUTTC,district
66232-18,2018-08-09,36003603,Чинний,2018-08-09,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.63,1.6,7.408,UA80000000000551439,Оболонський
67354-18,2018-07-11,39367052,Чинний,2018-07-11,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,7.0,1.15,8.05,UA80000000001078669,Шевченківський
67373-18,2018-08-09,32378340,Чинний,2018-08-09,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.0,0.5,2.0,UA80000000000479391,Дніпровський
67321-18,2024-01-12,3121566,Чинний,2024-05-14,2029-05-13,"Пілон (стела), що стоїть окремо",2.0,1.62,1.45,4.698,UA80000000000551439,Оболонський
67455-18,2018-08-23,14360570,Чинний,2018-08-23,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,10.0,0.7,7.0,UA80000000000479391,Дніпровський
67378-18,2018-10-08,39932408,Чинний,2018-10-08,2026-02-04,Конструкція на даху будинку (будівлі),1.0,9.0,2.84,25.56,UA80000000000624772,Печерський
67218-18,2023-09-20,36203680,Чинний,2024-02-16,2029-02-15,"Банер, панно на фасаді будинку (будівлі)",1.0,10.4,7.0,72.8,UA80000000001078669,Шевченківський
67228-18,2018-07-26,36003603,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.75,1.32,4.95,UA80000000000479391,Дніпровський
67251-18,2018-09-03,32856682,Чинний,2018-09-03,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.0,0.6,2.4,UA80000000000624772,Печерський
67240-18,2018-08-03,19243047,Чинний,2018-08-03,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.1,0.58,1.218,UA80000000000126643,Голосіївський
67282-18,2024-03-28,32734159,Чинний,2024-08-14,2029-08-13,"Пілон (стела), що стоїть окремо",2.0,1.5,3.0,9.0,UA80000000000875983,Святошинський
67370-18,2018-11-13,36853266,Чинний,2018-11-13,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,10.2,1.5,15.3,UA80000000000210193,Дарницький
67260-18,2018-08-03,30487219,Чинний,2018-08-03,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.7,0.69,2.553,UA80000000000126643,Голосіївський
